"battle_subscript","subscript_id","subscript_file","subscript_sha","nested_battle_subscripts","specialized_commands","source_commit"
"BATTLE_SUBSCRIPT_ATTACK_MESSAGE_AND_ANIMATION","76","subscript_0076_ATTACK_MESSAGE_AND_ANIMATION.s","a1af1857968288822cf01683dd71951daf4f9582","","PrintAttackMessage;PlayMoveAnimation","398a3020943f1ae98987e5b12b73d9086bbba3ce"
"BATTLE_SUBSCRIPT_CHARGE_MOVE_CLEANUP","259","subscript_0259_CHARGE_MOVE_CLEANUP.s","fe3299be13593d56358c745988eef9dbb9cccad0","","UpdateVar;UpdateMonData","398a3020943f1ae98987e5b12b73d9086bbba3ce"
"BATTLE_SUBSCRIPT_CREATE_TERRAIN_OVERLAY","354","subscript_0354_CREATE_TERRAIN_OVERLAY.s","a647d03016ff314b0bd03d40a789fb3c8f6c3d76","","GotoIfTerrainOverlayIsType;ResetParadoxAbility;ActivateParadoxAbility;CheckAbility","398a3020943f1ae98987e5b12b73d9086bbba3ce"
"BATTLE_SUBSCRIPT_HANDLE_SNOW_TEMPORARY","364","subscript_0364_HANDLE_SNOW_TEMPORARY.s","5821e2e3a927da44525f6a099179e8b699ca91fb","","ResetParadoxAbility;ActivateParadoxAbility;CheckItemHoldEffect;GetItemEffectParam","398a3020943f1ae98987e5b12b73d9086bbba3ce"
"BATTLE_SUBSCRIPT_ITEM_SKIP_CHARGE_TURN","217","subscript_0217_ITEM_SKIP_CHARGE_TURN.s","ca92470c1fbb928167b5f1f1593c95cb8acb53fd","","ToggleVanish;RemoveItem","398a3020943f1ae98987e5b12b73d9086bbba3ce"
"BATTLE_SUBSCRIPT_MAGIC_ROOM_END","520","subscript_0520_MAGIC_ROOM_END.s","b7ff47af5efec64361c9f66cc1891ed855cdaa16","","SetFieldCondition2","398a3020943f1ae98987e5b12b73d9086bbba3ce"
"BATTLE_SUBSCRIPT_POWER_HERB_METEOR_BEAM","380","subscript_0380_POWER_HERB_METEOR_BEAM.s","f2dc5bdecdde6e06d0e5a966a2bac895edbb0138","BATTLE_SUBSCRIPT_UPDATE_STAT_STAGE","ToggleVanish;RemoveItem","398a3020943f1ae98987e5b12b73d9086bbba3ce"
"BATTLE_SUBSCRIPT_SP_ATK_UP_RAIN_SKIP","381","subscript_0381_SP_ATK_UP_RAIN_SKIP.s","b8fe86358e519225e4b5405e85093cd6b7057cd0","BATTLE_SUBSCRIPT_UPDATE_STAT_STAGE","ToggleVanish","398a3020943f1ae98987e5b12b73d9086bbba3ce"
"BATTLE_SUBSCRIPT_UPDATE_STAT_STAGE","12","subscript_0012_UPDATE_STAT_STAGE.s","d8a323e5dbec41d296d213c85aab836a4c69f876","BATTLE_SUBSCRIPT_HANDLE_DEFIANT;BATTLE_SUBSCRIPT_HANDLE_COMPETITIVE","ChangeStatStage;CheckCanActivateDefiantOrCompetitive;PlayBattleAnimationFromVar","398a3020943f1ae98987e5b12b73d9086bbba3ce"
